Year,Country,Region,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
1987,United States of America (the),Northern America,,1987,7,,1987,7,,80
1988,Yugoslavia,Southern Europe,,1988,7,11,1988,7,11,38
1993,Australia,Australia and New Zealand,,1993,2,,1993,2,,17
1990,Mexico,Central America,,1990,4,30,1990,6,6,380
1990,France,Western Europe,40,1990,7,24,1990,7,24,5
1990,Korea (the Republic of),Eastern Asia,,1990,7,29,1990,7,29,40
1991,Pakistan,Southern Asia,53,1991,6,1,1991,6,15,523
1990,United States of America (the),Northern America,,1990,6,25,1990,6,25,11
1993,United States of America (the),Northern America,,1993,6,,1993,6,,48
1994,Australia,Australia and New Zealand,,1994,1,,1994,1,,5
1994,Australia,Australia and New Zealand,44,1994,12,,1994,12,,
1994,China,Eastern Asia,,1994,8,,1994,8,,104
1995,Australia,Australia and New Zealand,,1995,11,,1995,11,,1
1997,China,Eastern Asia,36,1997,7,9,1997,7,9,16
1994,India,Southern Asia,49,1994,5,,1994,5,,161
1995,Egypt,Northern Africa,46,1995,6,12,1995,6,12,32
1995,Spain,Southern Europe,47,1995,7,25,1995,7,25,30
1995,India,Southern Asia,50,1995,5,8,1995,6,21,558
1996,Egypt,Northern Africa,44,1996,7,7,1996,7,7,22
1996,Pakistan,Southern Asia,40,1996,6,19,1996,6,19,32
1997,Pakistan,Southern Asia,46,1997,6,16,1997,6,16,100
1998,Cyprus,Western Asia,43,1998,8,10,1998,8,10,52
